"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"U1";"SSOP-24_5.3x8.2mm_P0.65mm";1;"PCF8575DBR";;;
2;"SW1";"SW_DIP_SPSTx03_Slide_6.7x9.18mm_W8.61mm_P2.54mm_LowProfile";1;"SW_DIP_x03";;;
3;"R2,R1,R3";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"9.1K";;;
4;"J2,J1";"JST_XH_B5B-XH-A_1x05_P2.50mm_Vertical";2;"Conn_01x05_Socket";;;
5;"U3,U2";"DIP-16_W7.62mm";2;"ULN2003A";;;
6;"J4";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Conn_01x04_Pin";;;
7;"U5,U4";"PinHeader_1x03_P1.00mm_Vertical";2;"A1104xLH";;;
8;"C1";"C_0201_0603Metric";1;"C_Polarized";;;
9;"J3";"JST_PH_B4B-PH-K_1x04_P2.00mm_Vertical";1;"Conn_01x04_Socket";;;
